gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
0.6439,0.6444,0.6444,,1.8105,1.1667,90,6,12,34,5,1,0,6,scripts/utils/metrics-md.py
0.6387,0.2385,0.2385,,0.8387,0.2000,218,10,20,5,0,1,1,0,internal/storage/metricstore/elasticsearch/reader.go
0.6373,0.0000,0.0000,,0.6373,0.0000,57,5,5,3,0,0,0,0,internal/storage/v2/v1adapter/tracewriter.go
0.6340,0.0000,0.0000,,0.6340,0.0000,74,3,6,0,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/adjuster/hash.go
0.6340,0.0000,0.0000,,0.6340,0.0000,47,0,2,0,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/types/search_traces.go
0.6340,0.0000,0.0000,,0.6340,0.0000,25,1,2,0,0,0,0,0,cmd/anonymizer/app/uiconv/module.go
0.6340,0.0000,0.0000,,0.6340,0.0000,36,2,4,0,0,0,0,0,internal/storage/v1/elasticsearch/samplingstore/dbmodel/converter.go
0.6340,0.0000,0.0000,,0.6340,0.0000,34,2,4,0,0,0,0,0,internal/storage/v2/elasticsearch/depstore/dbmodel/converter.go
0.6340,0.0000,0.0000,,0.6340,0.0000,34,2,4,0,0,0,0,0,examples/hotrod/pkg/pool/pool.go
0.6319,0.1468,0.1468,,0.7406,0.1087,497,46,51,39,0,5,0,0,internal/storage/v2/api/tracestore/mocks/mocks.go
0.6267,0.4061,0.4061,,1.0553,0.4286,185,7,9,15,0,3,0,0,internal/storage/v1/cassandra/spanstore/operation_names.go
0.6244,0.0000,0.0000,,0.6244,0.0000,76,6,3,7,0,0,0,0,cmd/es-rollover/app/index_options.go
0.6121,0.5213,0.5213,,1.2788,0.6667,64,3,12,3,0,2,0,0,internal/storage/v2/elasticsearch/tracestore/ids.go
0.6082,0.7533,0.7533,,2.4654,1.8571,214,7,42,61,5,13,0,0,scripts/release/notes.py
0.6059,0.1550,0.1550,,0.7170,0.1111,129,9,8,9,0,1,0,0,internal/storage/v2/elasticsearch/depstore/storage.go
0.6047,0.0000,0.0000,,0.6047,0.0000,25,2,2,1,0,0,0,0,internal/tenancy/context.go
0.6047,0.0000,0.0000,,0.6047,0.0000,33,2,2,1,0,0,0,0,internal/jptrace/sanitizer/sanitizer.go
0.6040,0.0000,0.0000,,0.6040,0.0000,110,7,9,2,0,0,0,0,internal/storage/v2/v1adapter/tracereader.go
0.5942,0.0000,0.0000,,0.5942,0.0000,65,5,9,0,0,0,0,0,internal/converter/thrift/jaeger/sampling_to_domain.go
0.5916,0.2064,0.2064,,0.7454,0.1538,426,39,44,33,0,6,0,0,internal/storage/v2/elasticsearch/tracestore/core/mocks/mocks.go
0.5854,0.2216,0.2216,,0.7521,0.1667,143,12,13,11,0,2,0,0,internal/distributedlock/mocks/mocks.go
0.5840,0.0000,0.0000,,0.5840,0.0000,32,2,1,2,0,0,0,0,internal/jptrace/attributes.go
0.5806,0.0000,0.0000,,0.5806,0.0000,50,4,5,1,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/adjuster/spanlinks.go
0.5766,0.0841,0.0841,,0.6295,0.0529,1623,170,156,111,0,9,0,0,internal/storage/elasticsearch/mocks/mocks.go
0.5704,0.5473,0.5473,,1.2600,0.6897,618,29,63,65,0,6,14,0,internal/storage/v2/elasticsearch/tracestore/core/reader.go
0.5660,0.0000,0.0000,,0.5660,0.0000,140,3,5,0,0,0,0,0,cmd/jaeger/internal/components.go
0.5648,0.0801,0.0801,,0.6140,0.0492,565,61,48,45,0,3,0,0,internal/storage/cassandra/mocks/mocks.go
0.5547,0.0000,0.0000,,0.5547,0.0000,34,2,0,4,0,0,0,0,internal/sampling/samplingstrategy/file/constants.go
0.5514,0.0000,0.0000,,0.5514,0.0000,67,5,8,0,0,0,0,0,examples/hotrod/pkg/tracing/rpcmetrics/observer.go
0.5457,0.2499,0.2499,,0.7275,0.1818,239,22,24,18,0,4,0,0,internal/storage/v1/api/samplingstore/mocks/mocks.go
0.5436,0.2451,0.2451,,0.7201,0.1765,193,17,18,14,0,3,0,0,internal/storage/v2/elasticsearch/depstore/mocks/mocks.go
0.5403,0.0000,0.0000,,0.5403,0.0000,141,11,15,1,0,0,0,0,internal/converter/thrift/jaeger/to_domain.go
0.5396,0.5741,0.5741,,1.2669,0.7273,209,11,26,19,2,8,0,0,cmd/anonymizer/app/anonymizer/anonymizer.go
0.5335,0.2141,0.2141,,0.6789,0.1454,4447,454,436,353,0,66,0,0,internal/proto-gen/storage_v1/mocks/mocks.go
0.5330,0.0000,0.0000,,0.5330,0.0000,113,7,4,5,0,0,0,0,internal/storage/v1/cassandra/spanstore/dbmodel/converter.go
0.5293,0.2125,0.2125,,0.6722,0.1429,105,7,7,5,0,0,1,0,internal/jtracer/jtracer.go
0.5288,0.0000,0.0000,,0.5288,0.0000,24,2,3,0,0,0,0,0,internal/auth/apikey/apikey-context.go
0.5253,0.1922,0.1922,,0.6503,0.1250,75,8,0,21,0,0,1,0,internal/telemetry/otelsemconv/semconv.go
0.5166,0.0000,0.0000,,0.5166,0.0000,57,4,2,3,0,0,0,0,internal/storage/metricstore/prometheus/factory.go
0.5005,0.6664,0.6664,,1.5005,1.0000,70,2,7,5,0,2,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/handlers/get_services.go
0.4953,0.0000,0.0000,,0.4953,0.0000,27,3,0,5,0,0,0,0,internal/storage/v1/cassandra/helper.go
0.4869,0.2268,0.2268,,0.6298,0.1429,234,21,19,14,0,3,0,0,internal/storage/v2/api/depstore/mocks/mocks.go
0.4809,0.5097,0.5097,,0.9809,0.5000,133,6,15,4,0,3,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/apiv3/grpc_handler.go
0.4627,0.0000,0.0000,,0.4627,0.0000,25,2,0,3,0,0,0,0,cmd/es-rollover/app/rollover/flags.go
0.4464,0.6913,0.6913,,1.4464,1.0000,34,2,9,3,0,2,0,0,scripts/ai-sidecar/gemini/ws_commands.py
0.4396,0.0000,0.0000,,0.4396,0.0000,297,25,13,12,0,0,0,0,internal/metricstest/local.go
0.4387,0.0000,0.0000,,0.4387,0.0000,67,2,1,1,0,0,0,0,internal/storage/v1/elasticsearch/options.go
0.4387,0.0000,0.0000,,0.4387,0.0000,75,2,1,1,0,0,0,0,internal/storage/integration/remote_memory_storage.go
0.4387,0.0000,0.0000,,0.4387,0.0000,28,2,1,1,0,0,0,0,internal/httpfs/prefixed.go
0.4276,0.0000,0.0000,,0.4276,0.0000,65,6,5,1,0,0,0,0,internal/tenancy/manager.go
0.4000,0.0000,0.0000,,0.4000,0.0000,100,1,1,0,0,0,0,0,cmd/jaeger/internal/extension/jaegerquery/internal/qualitymetrics/data.go
0.4000,0.0000,0.0000,,0.4000,0.0000,25,0,1,0,0,0,0,0,cmd/jaeger/internal/extension/jaegermcp/internal/types/get_span_names.go
0.4000,0.0000,0.0000,,0.4000,0.0000,23,2,2,0,0,0,0,0,cmd/internal/featuregate/command.go
0.4000,0.0000,0.0000,,0.4000,0.0000,26,2,2,0,0,0,0,0,internal/sampling/samplingstrategy/adaptive/cache.go
0.4000,0.0000,0.0000,,0.4000,0.0000,152,1,1,0,0,0,0,0,internal/storage/v2/clickhouse/tracestore/dbmodel/spanrow.go
0.4000,0.0000,0.0000,,0.4000,0.0000,51,4,4,0,0,0,0,0,internal/storage/v2/clickhouse/depstore/link.go
0.4000,0.0000,0.0000,,0.4000,0.0000,46,3,3,0,0,0,0,0,examples/hotrod/pkg/tracing/rpcmetrics/endpoints.go
0.3979,0.0000,0.0000,,0.3979,0.0000,129,9,4,4,0,0,0,0,internal/storage/metricstore/elasticsearch/query_builder.go
0.3973,0.2094,0.2094,,0.5026,0.1053,536,57,39,28,0,6,0,0,internal/storage/v1/mocks/mocks.go
0.3948,0.0000,0.0000,,0.3948,0.0000,80,8,4,3,0,0,0,0,internal/storage/v2/elasticsearch/factory.go
0.3890,0.6878,0.6878,,1.2461,0.8571,72,7,6,30,1,6,0,0,scripts/release/formatter.py
0.3864,0.5853,0.5853,,0.9319,0.5455,180,11,18,12,0,6,0,0,internal/storage/v1/elasticsearch/samplingstore/storage.go
0.3860,0.7215,0.7215,,1.3860,1.0000,124,5,13,13,0,5,0,0,internal/storage/v1/cassandra/dependencystore/storage.go
0.3859,0.0000,0.0000,,0.3859,0.0000,49,7,3,3,0,0,0,0,internal/storage/v1/cassandra/spanstore/dbmodel/tag_filter.go
