gap,coverage,effective_coverage,covered_by,icr,ccr,loc,funcs,branches,mutations,io_calls,logs,spans,metrics,path
1.6288,0.0000,0.0000,,1.6288,0.0000,27,1,4,3,0,0,0,0,pkg/services/queryhistory/queryhistory_details.go
1.6164,0.1710,0.1710,,1.9498,0.3333,182,6,29,32,0,2,0,0,pkg/tsdb/grafana-testdata-datasource/usa_stats.go
1.6127,0.0000,0.0000,,1.6127,0.0000,51,1,3,4,0,0,0,0,e2e/utils/flows/openPanelMenuItem.ts
1.6127,0.0000,0.0000,,1.6127,0.0000,25,1,3,4,0,0,0,0,apps/provisioning/pkg/repository/github/mutator.go
1.6127,0.0000,0.0000,,1.6127,0.0000,27,1,3,4,0,0,0,0,pkg/services/apiserver/appinstaller/resourceconfig.go
1.6127,0.0000,0.0000,,1.6127,0.0000,22,1,3,4,0,0,0,0,pkg/services/ngalert/notifier/legacy_storage/inhibition_rules.go
1.5788,0.0000,0.0000,,1.5788,0.0000,57,1,9,0,1,0,0,0,pkg/tests/testinfra/metrics.go
1.5756,0.0957,0.0957,,1.7422,0.1667,143,6,26,19,1,1,0,0,pkg/setting/setting_grpc.go
1.5736,0.0000,0.0000,,1.5736,0.0000,137,3,22,3,0,0,0,0,pkg/registry/apps/alerting/rules/register.go
1.5729,0.2761,0.2761,,2.1729,0.6000,177,5,30,35,0,3,0,0,pkg/setting/setting_plugins.go
1.5722,0.0000,0.0000,,1.5722,0.0000,268,16,45,62,0,0,0,0,pkg/tsdb/influxdb/models/query.go
1.5707,0.0000,0.0000,,1.5707,0.0000,75,3,7,14,0,0,0,0,pkg/tsdb/cloud-monitoring/httpclient.go
1.5527,0.0000,0.0000,,1.5527,0.0000,90,4,25,5,0,0,0,0,pkg/util/xorm/engine_table.go
1.5521,0.0000,0.0000,,1.5521,0.0000,83,4,17,9,0,0,0,0,pkg/services/featuremgmt/strcase/camel.go
1.5503,0.3921,0.3921,,2.5503,1.0000,357,7,78,56,0,7,0,0,pkg/expr/convert_to_full_long.go
1.5462,0.0000,0.0000,,1.5462,0.0000,40,0,3,1,2,0,0,0,e2e/utils/flows/deleteDashboard.ts
1.5462,0.0000,0.0000,,1.5462,0.0000,62,3,10,9,0,0,0,0,pkg/tsdb/influxdb/flux/macros.go
1.5462,0.0000,0.0000,,1.5462,0.0000,48,3,10,9,0,0,0,0,pkg/services/tag/model.go
1.5385,0.0000,0.0000,,1.5385,0.0000,45,2,9,4,0,0,0,0,pkg/services/accesscontrol/checker.go
1.5373,0.2454,0.2454,,2.0373,0.5000,179,4,28,17,0,2,0,0,pkg/registry/apps/alerting/notifications/receiver/conversions.go
1.5373,0.0000,0.0000,,1.5373,0.0000,98,1,0,20,0,0,0,0,pkg/services/dashboards/errors.go
1.5367,0.0000,0.0000,,1.5367,0.0000,82,3,12,7,0,0,0,0,pkg/services/live/pipeline/frame_output_changelog.go
1.5367,0.1507,0.1507,,1.8094,0.2727,312,11,60,36,0,3,0,0,pkg/codegen/jenny_tsveneerindex.go
1.5356,0.0000,0.0000,,1.5356,0.0000,59,2,5,8,0,0,0,0,pkg/services/screenshot/option.go
1.5354,0.0000,0.0000,,1.5354,0.0000,91,4,14,11,0,0,0,0,pkg/registry/apps/alerting/notifications/timeinterval/conversions.go
1.5288,0.0000,0.0000,,1.5288,0.0000,73,0,4,1,1,0,0,0,e2e/cypress/plugins/extendConfig.js
1.5284,0.0000,0.0000,,1.5284,0.0000,164,8,31,19,0,0,0,0,pkg/services/ngalert/models/receivers_diff.go
1.5267,0.1840,0.1840,,1.8710,0.3443,2126,61,424,171,0,17,4,0,apps/dashboard/pkg/migration/conversion/v2alpha1_to_v1.go
1.5230,0.1273,0.1273,,1.7452,0.2222,203,9,29,46,0,2,0,0,pkg/services/pluginsintegration/pluginconfig/envvars.go
1.5229,0.0000,0.0000,,1.5229,0.0000,146,0,13,0,0,0,0,0,e2e/utils/flows/configurePanel.ts
1.5192,0.0000,0.0000,,1.5192,0.0000,94,0,6,0,2,0,0,0,e2e/utils/flows/addDataSource.ts
1.5095,0.0000,0.0000,,1.5095,0.0000,179,1,1,8,0,0,0,0,pkg/services/team/model.go
1.5086,0.1810,0.1810,,1.8419,0.3333,103,3,13,14,0,1,0,0,pkg/services/store/kind/dashboard/summary.go
1.5070,0.2239,0.2239,,1.9418,0.4348,765,23,189,62,0,10,0,0,pkg/expr/mathexp/exp.go
1.5011,0.0000,0.0000,,1.5011,0.0000,142,5,18,10,1,0,0,0,scripts/levitate-show-affected-plugins.js
1.5009,0.1428,0.1428,,1.7509,0.2500,288,12,68,32,0,3,0,0,pkg/util/xorm/session_query.go
1.4967,0.0000,0.0000,,1.4967,0.0000,65,2,10,3,0,0,0,0,pkg/registry/apis/provisioning/controller/conditions.go
1.4939,0.0000,0.0000,,1.4939,0.0000,266,6,41,5,0,0,0,0,apps/dashboard/pkg/migration/schemaversion/v36.go
1.4918,0.0874,0.0874,,1.6347,0.1429,225,7,35,16,0,1,0,0,pkg/services/ngalert/state/compat.go
1.4878,0.0429,0.0429,,1.5545,0.0667,613,30,117,76,0,1,0,1,pkg/services/ngalert/tests/fakes/rules.go
1.4852,0.0000,0.0000,,1.4852,0.0000,184,8,25,22,0,0,0,0,pkg/services/accesscontrol/filter.go
1.4835,0.0000,0.0000,,1.4835,0.0000,87,4,16,8,0,0,0,0,pkg/util/xorm/session_iterate.go
1.4835,0.0000,0.0000,,1.4835,0.0000,100,2,8,4,0,0,0,0,pkg/registry/apps/alerting/notifications/integrationtypeschema/handler.go
1.4787,0.0779,0.0779,,1.6037,0.1250,1025,56,210,170,0,7,0,0,pkg/util/xorm/statement.go
