score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
27.7403,1057,25.33,25.33,0.6080,11,21,vs/workbench/services/preferences/common/preferencesModels.ts
27.1609,950,27.50,27.50,0.6566,13,20,vs/workbench/services/remote/common/tunnelModel.ts
27.1253,634,42.00,42.00,0.4906,5,8,vs/base/browser/ui/tree/indexTreeModel.ts
26.9657,1008,26.00,26.00,0.6094,12,4,vs/base/parts/ipc/common/ipc.net.ts
26.8502,731,35.33,35.33,0.4738,7,36,vs/workbench/contrib/chat/common/plugins/agentPluginServiceImpl.ts
26.8055,400,66.00,66.00,0.5981,4,7,vs/base/common/observableInternal/observables/derivedImpl.ts
26.7253,517,50.00,50.00,0.2387,2,39,vs/workbench/contrib/testing/browser/testResultsView/testResultsViewContent.ts
26.6242,632,41.00,41.00,0.6113,3,31,vs/editor/browser/widget/diffEditor/components/accessibleDiffViewer.ts
26.2719,2423,10.16,10.16,0.5354,10,69,vs/workbench/contrib/preferences/browser/settingsTree.ts
26.1862,336,77.00,77.00,0.5231,3,3,vs/platform/contextkey/common/scanner.ts
26.1046,387,65.00,65.00,0.3216,6,32,vs/workbench/contrib/codeEditor/browser/saveParticipants.ts
25.7035,1385,18.09,18.09,0.3897,3,23,vs/base/browser/ui/tree/asyncDataTree.ts
25.2747,411,60.00,60.00,0.6213,8,8,vs/workbench/contrib/debug/common/replModel.ts
24.3418,566,42.00,42.00,0.6009,4,18,vs/workbench/contrib/browserView/common/browserView.ts
24.3127,650,36.50,36.50,0.3890,3,19,vs/workbench/services/search/node/fileSearch.ts
24.1431,670,35.00,35.00,0.5477,2,32,vs/workbench/contrib/codeEditor/browser/inspectEditorTokens/inspectEditorTokens.ts
24.0311,738,31.33,31.33,0.4915,3,42,vs/workbench/contrib/search/browser/searchWidget.ts
23.9817,629,37.00,37.00,0.6453,10,8,vs/workbench/contrib/chat/browser/chatManagement/chatModelsViewModel.ts
23.8966,638,36.33,36.33,0.7561,8,17,vs/platform/userDataProfile/common/userDataProfile.ts
23.8189,1361,16.12,16.12,0.5288,15,67,vs/workbench/contrib/chat/browser/attachments/chatAttachmentWidgets.ts
23.5400,571,39.00,39.00,0.5959,15,28,vs/workbench/contrib/bulkEdit/browser/preview/bulkEditTree.ts
23.2752,1622,13.22,13.22,0.6451,15,66,vs/workbench/contrib/chat/browser/actions/chatActions.ts
22.9540,741,29.50,29.50,0.2621,2,54,vs/workbench/contrib/inlineChat/browser/inlineChatController.ts
22.7687,1815,12.12,12.12,0.6327,5,28,vs/platform/extensionManagement/common/extensionGalleryService.ts
22.4172,1221,17.33,17.33,0.6072,15,27,vs/workbench/contrib/debug/common/debug.ts
22.1301,625,34.00,34.00,0.6794,13,10,vs/workbench/common/notifications.ts
22.1006,576,37.00,37.00,0.5856,5,29,vs/platform/userDataSync/common/extensionsSync.ts
22.0172,855,25.00,25.00,0.5710,8,9,vs/editor/common/cursor/cursorMoveCommands.ts
21.7940,2222,9.37,9.37,0.6480,15,9,vs/base/common/async.ts
