score,loc,avg_cc,cc_ratio,cohesion,concerns,imports,path
1.5476,244,2.54,2.54,0.5871,2,29,module/spring-boot-reactor-netty/src/main/java/org/springframework/boot/reactor/netty/NettyWebServer.java
1.5403,411,2.38,2.38,0.5591,2,14,core/spring-boot/src/main/java/org/springframework/boot/logging/StandardStackTracePrinter.java
1.5393,333,3.57,3.57,1.0000,1,12,loader/spring-boot-jarmode-tools/src/main/java/org/springframework/boot/jarmode/tools/Command.java
1.5343,314,1.61,1.61,0.4831,2,32,module/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/env/EnvironmentEndpoint.java
1.5337,315,2.25,2.25,1.0000,1,31,module/spring-boot-webflux/src/main/java/org/springframework/boot/webflux/autoconfigure/error/AbstractErrorWebExceptionHandler.java
1.5334,223,3.62,3.62,1.0000,1,27,core/spring-boot-docker-compose/src/main/java/org/springframework/boot/docker/compose/service/connection/DockerComposeConnectionDetailsFactory.java
1.5319,256,3.18,3.18,0.5305,3,18,core/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/AutoConfigurationSorter.java
1.5304,256,1.31,1.31,0.5173,2,39,module/spring-boot-rsocket/src/main/java/org/springframework/boot/rsocket/netty/NettyRSocketServerFactory.java
1.5295,427,1.65,1.65,1.0000,1,31,module/spring-boot-security/src/main/java/org/springframework/boot/security/autoconfigure/actuate/web/servlet/EndpointRequest.java
1.5294,389,2.45,2.45,0.6017,2,15,core/spring-boot/src/main/java/org/springframework/boot/util/LambdaSafe.java
1.5292,560,1.55,1.55,0.7551,2,20,module/spring-boot-webservices/src/main/java/org/springframework/boot/webservices/client/WebServiceTemplateBuilder.java
1.5255,193,3.50,3.50,1.0000,1,32,module/spring-boot-webmvc/src/main/java/org/springframework/boot/webmvc/autoconfigure/DispatcherServletAutoConfiguration.java
1.5220,133,9.00,9.00,1.0000,1,11,buildpack/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/docker/configuration/DockerRegistryConfigAuthentication.java
1.5170,194,5.50,5.50,1.0000,1,16,core/spring-boot-docker-compose/src/main/java/org/springframework/boot/docker/compose/core/DockerCli.java
1.5129,405,1.57,1.57,1.0000,1,33,module/spring-boot-security/src/main/java/org/springframework/boot/security/autoconfigure/actuate/web/reactive/EndpointRequest.java
1.5123,145,7.00,7.00,0.4109,2,10,core/spring-boot/src/main/java/org/springframework/boot/ansi/AnsiPropertySource.java
